15,local,20,0.31258983154942654,BEN,DUT
16,global,20,0.2311689990270962,BEN,DUT
16,local,20,0.25301237279841815,BEN,DUT
17,global,20,0.24420336947336196,BEN,DUT
17,local,20,0.3113576717245359,BEN,DUT
18,global,20,0.2296015051108936,BEN,DUT
18,local,20,0.3053110165545313,BEN,DUT
19,global,20,0.2872254807222947,BEN,DUT
19,local,20,0.4286374486562003,BEN,DUT
20,global,20,0.22193003452543758,BEN,DUT
20,local,20,0.20312496325753449,BEN,DUT
1,global,20,0.26395483988098944,BUL,DUT
1,local,20,0.29908010509180333,BUL,DUT
2,global,20,0.2835995676620402,BUL,DUT
2,local,20,0.32230067861670997,BUL,DUT
3,global,20,0.2743627066427199,BUL,DUT
3,local,20,0.2797148315943042,BUL,DUT
4,global,20,0.3071018737486292,BUL,DUT
4,local,20,0.3834629976649674,BUL,DUT
5,global,20,0.27385390136843196,BUL,DUT
5,local,20,0.31592051287849887,BUL,DUT
6,global,20,0.2781631900474856,BUL,DUT
6,local,20,0.32476344917194366,BUL,DUT
7,global,20,0.30155147297696283,BUL,DUT
7,local,20,0.35105871373527653,BUL,DUT
8,global,20,0.261524572926029,BUL,DUT
8,local,20,0.2667412299006896,BUL,DUT
9,global,20,0.2624936968980549,BUL,DUT
9,local,20,0.2683015942360127,BUL,DUT
10,global,20,0.32767740557776703,BUL,DUT
10,local,20,0.4796079311299105,BUL,DUT
11,global,20,0.33175843607727573,BUL,DUT
11,local,20,0.43683778053964745,BUL,DUT
12,global,20,0.2890713454754978,BUL,DUT
12,local,20,0.36662532914787305,BUL,DUT
13,global,20,0.3030076935340398,BUL,DUT
13,local,20,0.3369638309648158,BUL,DUT
14,global,20,0.3106351586770044,BUL,DUT
14,local,20,0.4188063648285275,BUL,DUT
15,global,20,0.2942422295290515,BUL,DUT
15,local,20,0.3995981963271683,BUL,DUT
16,global,20,0.26296401247921775,BUL,DUT
16,local,20,0.3004883187022195,BUL,DUT
17,global,20,0.2516293284995098,BUL,DUT
17,local,20,0.2597921671265566,BUL,DUT
18,global,20,0.26445400054742685,BUL,DUT
18,local,20,0.27848725697668053,BUL,DUT
19,global,20,0.2546651893316708,BUL,DUT
19,local,20,0.21055936230187272,BUL,DUT
20,global,20,0.279412807526676,BUL,DUT
20,local,20,0.300239699824237,BUL,DUT
1,global,20,0.25969369149438215,CHI,DUT
1,local,20,0.34057309055217627,CHI,DUT
2,global,20,0.28269904903003695,CHI,DUT
2,local,20,0.35628937522699006,CHI,DUT
3,global,20,0.25593048246589445,CHI,DUT
3,local,20,0.26617415490098584,CHI,DUT
4,global,20,0.26790746459151366,CHI,DUT
4,local,20,0.32342192993881713,CHI,DUT
5,global,20,0.2755526878639235,CHI,DUT
5,local,20,0.3412240190999011,CHI,DUT
6,global,20,0.30330627623029743,CHI,DUT
6,local,20,0.4805777401101635,CHI,DUT
7,global,20,0.27424745105682496,CHI,DUT
7,local,20,0.3571546680367358,CHI,DUT
8,global,20,0.25294254860344983,CHI,DUT
8,local,20,0.29939958271654954,CHI,DUT
9,global,20,0.29138979912583773,CHI,DUT
9,local,20,0.4080628481043579,CHI,DUT
10,global,20,0.25128105228592346,CHI,DUT
10,local,20,0.23239619921179247,CHI,DUT
11,global,20,0.265477510562802,CHI,DUT
11,local,20,0.3106396937446675,CHI,DUT
12,global,20,0.27656023295217347,CHI,DUT
12,local,20,0.3326740962393693,CHI,DUT
13,global,20,0.27137517358009333,CHI,DUT
13,local,20,0.32692260695782993,CHI,DUT
14,global,20,0.3128745437652518,CHI,DUT
14,local,20,0.4467077736355911,CHI,DUT
15,global,20,0.2616202806218293,CHI,DUT
15,local,20,0.32473508869799583,CHI,DUT
16,global,20,0.237474338317208,CHI,DUT
16,local,20,0.2486251869344876,CHI,DUT
